Type,Technology,Name,ForkedFrom,LatestCommit,Watch,Star,Fork,Commits,Contributors
Boardgame,Html-Css-JavaScript,3D Hartwing Chess Set,https://github.com/juliangarnier/3D-Hartwig-chess-set,12/13/2012,28,311,115,8,1
Boardgame,Html-Css-TypeScript,c4,https://github.com/kenrick95/c4,08/15/2019,7,105,29,65,2
Boardgame,JavaScript-C#,Desperate Gods,https://github.com/David20321/FTJ,11/24/2012,83,289,121,189,2
Boardgame,Html-Css-JavaScript-Shell,Green Mahjong,https://github.com/danbeck/green-mahjong,01/24/17,7,53,35,364,1
Boardgame,JavaScript-Css,Kriegspiel,https://github.com/binarymax/kriegspiel,03/04/2014,4,12,3,81,1
Boardgame,Html-Css-JavaScript-TypeScript-Java-Scala-Other,Lichess,https://github.com/ornicar/lila,07/19/19,223,5.652,840,33.459,125
Arcade,JavaScript,Alge's Escapade,https://github.com/github/game-off-2012,08/10/2014,42,240,1.433,15,3
Arcade,JavaScript-Css,Alien Invasion,https://github.com/cykod/AlienInvasion,07/13/2014,16,113,151,28,3
Arcade,JavaScript-Python-Shell,Arashi,https://github.com/stephank/arashi-js,07/03/2010,3,11,8,40,1
Arcade,JavaScript-Html,Asteroids,https://github.com/dmcinnes/HTML5-Asteroids,01/01/2016,24,269,198,58,2
Arcade,Html-Css-JavaScript,Avabranch,https://github.com/Zolmeister/avabranch,09/23/2016,5,46,1.432,38,4
Arcade,Html-Css-JavaScript,Ball And Wall,https://github.com/budnix/ball-and-wall,03/03/2015,3,21,19,12,1
Arcade,JavaScript-Other,Breakout,https://github.com/Couchfriends/breakout,02/06/2019,4,13,8,55,1
Arcade,Html-JavaScript,Captain Rogers,https://github.com/EnclaveGames/Captain-Rogers,07/20/2019,3,28,18,30,1
Arcade,JavaScript-Other,Ceros Snake,https://github.com/mjhasbach/ceros-snake,02/09/2016,2,0,5,578,1
Arcade,JavaScript-CoffeeScript-Ruby,CHANG€,https://github.com/RothschildGames/change,12/01/2013,7,35,584,181,2
Arcade,JavaScript-C#-Shaderlab-Plsql,Chromacore,https://github.com/Murkantilism/game-off-2013,06/26/2017,4,30,584,24,2
Arcade,JavaScript-Other,Circus Charlie,https://github.com/Gamegur-us/circushtml5,03/19/2014,2,28,27,38,1
Arcade,Html-JavaScript,Jolly Jumper,https://github.com/shohan4556/jolly-jumper,04/07/2019,4,47,28,115,1
Arcade,Html-Css-JavaScript,Clumsy Bird,https://github.com/ellisonleao/clumsy-bird,06/16/2017,143,1.220,814,251,8
Arcade,ActionScript,Codename Lumberjack,https://github.com/arkeus/Codename-Lumberjack,09/09/2011,3,10,3,11,1
Arcade,Html-JavaScript-CoffeeScript,Coffee Snake,https://github.com/dommmel/coffee-snake,08/25/2015,5,25,17,112
Arcade,JavaScript,Coil,https://github.com/leereilly/Coil,03/25/2012,2,34,32,6,1
Arcade,C#,Color Quest,https://github.com/redbluegames/game-off-2013,03/14/2015,8,34,584,368,2
Arcade,JavaScript-Ruby,Core Commiter,https://github.com/vladikoff/game-off-2012,01/17/2013,3,11,1.432,25,4
Arcade,Html-Batchfile,Crappy Bird,https://github.com/varunpant/CrappyBird,06/01/2017,3,24,44,6,1
Arcade,Html-Css-JavaScript,Custom Tetris,https://github.com/ondras/custom-tetris,09/06/2015,12,72,584,57,2
Arcade,JavaScript-Css,d3shooter,https://github.com/nsmirn0v/d3shooter,09/30/2014,4,7,8,7,1
Arcade,JavaScript-Other,Digger,https://github.com/lutzroeder/digger,08/25/2018,7,35,18,10,1
Arcade,JavaScript-Css,Drakonas,https://github.com/Casmo/Drakonas,03/17/2014,5,9,6,153,2
Arcade,JavaScript-Css-Shell,Drill Bunny,https://github.com/DreamShowAdventures/LudumDare29,03/01/2014,8,30,11,140,1
Arcade,JavaScript-HCL,DuckHunt JS,https://github.com/MattSurabian/DuckHunt-JS,09/08/2018,14,318,122,188,1
Arcade,Html-JavaScript,EKG Runner,https://github.com/Myztiq/ekgrunner,03/26/2015,3,17,6,6,2
Arcade,JavaScript,Emberwind,https://github.com/operasoftware/Emberwind,05/21/2012,50,243,52,9,2
Arcade,Html-JavaScript-Shell,ExecutiveMan,https://github.com/CamHenlin/ExecutiveMan,07/07/2017,10,53,16,275,1
Arcade,CoffeeScript,Flappy Bird,https://github.com/hyspace/flappy,03/11/2014,18,167,114,23,1
Arcade,JavaScript-Shell,Fluid Table Tennis,https://github.com/anirudhjoshi/fluid_table_tennis,01/28/2013,8,56,16,48,1
Arcade,ActionScript,FlxInvaders,https://github.com/AdamAtomic/Flx-Invaders,04/27/2011,6,21,11,13,1
Arcade,ActionScript,FlxTeroids,https://github.com/AdamAtomic/FlxTeroids,04/27/2011,3,12,9,10,1
Arcade,ActionScript,Grave Robbers,https://github.com/AdamAtomic/FlxTeroids,05/01/2011,2,14,11,18,1
Arcade,Html-Css-JavaScript-CoffeeScript,Heal 'em All,https://github.com/krzysu/game-off-2013,07/23/2019,8,42,584,119,4
Arcade,Html-Css-JavaScript-Php-C#-Smalltalk-Glsl,HotFix,https://github.com/sdrdis/hotfix,02/04/2015,47,204,1.432,64,5
Arcade,JavaScript,hurry!,https://github.com/hughsk/ludum-dare-27,08/25/2013,5,33,12,38,1
Arcade,Css-JavaScript-Ruby,Hyperspace Garbage Collector,https://github.com/razh/game-off-2013,02/02/2013,8,51,586,345,2
Arcade,JavaScript-Other,I Spy A Ghost,https://github.com/OmarShehata/I-Spy-A-Ghost,07/08/2016,3,22,10,8,1
Arcade,JavaScript-C#,Jekyll & Hyde Collide,https://github.com/awesome-interactive/game-off-2013,11/30/2013,7,23,586,21,2
Arcade,Html-Css-JavaScript-Shell,JumpSuit,https://github.com/KordonBleu/jumpsuit,12/01/2017,6,36,10,381,2
Arcade,JavaScript-Python-Shell,Marble Soccer,https://github.com/jeromeetienne/marbleSoccer,01/29/2012,4,17,13,224,1
Arcade,Html-JavaScript-Python,Mario 5 HTML,https://github.com/robertkleffner/mariohtml5,11/22/2017,26,346,202,10,3
Arcade,JavaScript-C#-C,Mega Girl,https://github.com/ddionisio/game-off-2013,12/04/2013,14,48,586,74,2
Arcade,Html-JavaScript-Python,Masonry JavaScript Tetris Clone,https://github.com/robertkleffner/mariohtml5,11/22/2017,26,346,202,10,3
Arcade,ActionScript,Mode,https://github.com/AdamAtomic/Mode,04/27/2011,5,68,22,42,1
Arcade,Html-JavaScript,Monster Wants Candy,https://github.com/EnclaveGames/Monster-Wants-Candy-demo,07/16/2015,5,52,85,7,1
Arcade,Java-Other,Newton Adventure,https://github.com/devnewton/newton_adventure,11/11/2014,5,11,3,676,1
Arcade,JavaScript,Octocat Jump,https://github.com/ogoshen/game-off-2012,11/23/2012,1,27,1.432,21,4
Arcade,JavaScript-Php,Onslaught Arena,https://github.com/lostdecade/onslaught_arena,11/27/2012,10,167,50,690,2
Arcade,Html-Css-JavaScript,Pappu Pakia,https://github.com/rishabhp/pappu-pakia,08/08/2016,55,445,1.432,251,6
Arcade,Html-JavaScript,Phaser Snake,https://github.com/gamedolphin/javascript_snake,08/13/2015,3,3,7,3,4
Arcade,JavaScript,PixelPlatformer,https://github.com/bendangelo/PixelPlatformer,12/30/2011,5,22,7,3,0
Arcade,JavaScript-Java,PolyBranch,https://github.com/gbatha/PolyBranch,12/01/2012,20,160,1.432,41,4
Arcade,Html-Css-JavaScript,Protocol 390,https://github.com/josegallegos07/game-off-2013,03/04/2015,4,18,586,686,1
Arcade,Html-Css-JavaScript-Shell,Raging Gardens,https://github.com/kenamick/game-off-2012,11/28/2015,3,25,1.432,179,4
Arcade,Html-Css-JavaScript-CoffeeScript-Ruby,Release Cycles,https://github.com/RothschildGames/release-cycles,09/28/2015,16,69,1.432,245,5
Arcade,Html-Css-JavaScript,Save The Forest,https://github.com/softvar/save-the-forest,09/15/2016,2,4,5,45,1
Arcade,Css-JavaScript-Other,Ski Free,https://github.com/basicallydan/skifree.js,02/11/2016,15,375,88,137,4
Arcade,Html-JavaScript,Snake,https://github.com/xurxodiz/snake,06/20/2017,4,18,37,11,3
Arcade,Html-Css-JavaScript,Snake_new,https://github.com/RabiRoshan/snake_game,03/07/2017,4,5,5,7,1
Arcade,JavaScript-Other,Space-Shooter,https://github.com/Couchfriends/Space-Shooter,03/09/2017,2,4,2,40,1
Arcade,Html,Spashal,https://github.com/MrRar/spashal,08/22/2016,2,2,0,10,1
Arcade,Html-Css-JavaScript,Square Off!,https://github.com/ScriptaGames/SquareOff/,03/01/2017,3,5,4,149,2
Arcade,JavaScript,SORADES 13K,https://github.com/maettig/starship-sorades-13k,04/30/2013,7,17,10,7,1
Arcade,Html-JavaScript,Space Crusade,https://github.com/Loopeex/space-crusade,03/18/2015,3,6,6,17,2
Arcade,Css-JavaScript,Space Invaders,https://github.com/StrykerKKD/SpaceInvaders,03/30/2014,7,40,35,7,1
