Type,Technology,Name,ForkedFrom,LatestCommit,Watch,Star,Fork,Commits,Contributors
Android,Java,ChaseWhisplyProject,https://github.com/tvbarthel/ChaseWhisplyProject,02/11/2017,62,499,277,873,10
Android,Java,Colorphun,https://github.com/prakhar1989/colorphun,12/16/2014,8,63,45,114,3
Android,Java,Game of Life,https://github.com/zsoltk/GameOfLife,09/23/2016,3,64,37,159,1
Android,Java,Gidi Games,https://github.com/victordibia/GidiGames,03/11/2015,14,54,43,6,1
Android,JavaScript-Css-Html-Shell,Green Mahjong,https://github.com/danbeck/green-mahjong,01/24/2017,6,57,37,364,1
Android,Java,Green Wall,https://github.com/awlzac/greenwall,05/05/2015,2,17,23,19,1
Android,Java,Memory Game,https://github.com/sromku/memory-game,02/03/2019,66,444,307,91,4
Android,Java,Pixel Dungeon,https://github.com/watabou/pixel-dungeon,10/01/2015,245,2.400,904,25,1
Android,Java,PuzzleGame,https://github.com/victordibia/PuzzleGame,03/11/2015,6,44,71,17,1
Android,Java,Wannabe Tempest,https://github.com/awlzac/wbta,03/02/2016,6,15,17,20,2
IOS,Html-Css-ObjectiveC-C-Python-Perl-Other,Bat Loves Bugs,https://github.com/xyclos/BatLovesBugs,08/14/2015,1,8,6,16,1
IOS,Html-Css-ObjectiveC-C++-C-CMake-,Bridges,https://github.com/zgrossbart/bridges,03/05/2017,25,164,91,804,3
IOS,ObjectiveC-C-Shell,Canabalt,https://github.com/ericjohnson/canabalt-ios,12/31/2010,66,1.600,296,4,1
IOS,Swift,Choose Figure,https://github.com/ISosnovik/chooseFigure,02/13/2018,4,26,9,21,2
IOS,ObjectiveC-C++-C,Doom,https://github.com/id-Software/DOOM-iOS,01/31/2012,47,637,172,2,1
IOS,ObjectiveC-C++-C,DrugsNRock,https://github.com/biou/DrugsNRock,02/21/2014,7,11,7,127,2
IOS,ObjectiveC-C++-C-PHP-CMake-Matlab,FinalFighter,https://github.com/sebcode/FinalFighter-iphone,10/08/2012,3,11,11,1,1
IOS,Perl-Python-Makefile-Ruby-Inno Setup-Shell,Frogatto,https://github.com/frogatto/frogatto,10/27/2019,54,428,96,14.942,23
IOS,ObjectiveC-JavaScript-Css-Shell-Other,Gorillas,https://github.com/Lyndir/Gorillas,04/21/2014,16,250,98,337,1
IOS,Html-Css-JavaScript-Shell,Green Mahjong,https://github.com/danbeck/green-mahjong,01/24/2017,6,57,37,364,1
IOS,ObjectiveC-Other,Light Jockey,https://github.com/jmfieldman/Light-Jockey,11/26/2012,5,16,14,7,1
IOS,ObjectiveC-C-Other,Lumio,https://github.com/sephine/lumio,06/02/2016,18,168,51,88,1
IOS,ObjectiveC-Swift,Sakura Fly,https://github.com/cl7/Sakura-Fly,10/15/2019,4,72,39,13,1
IOS,ObjectiveC-C-Shell,Wolfenstein 3D,https://github.com/id-Software/Wolf3D-iOS,01/31/2012,40,411,144,4,1
